Oceans,Regions,Measurement
Atlantic Ocean,Gulf of St. Lawrence,0.0054
Atlantic Ocean,Mediterranean Sea,0.236481
Atlantic Ocean,Mediterranean Sea,0.813379
Atlantic Ocean,,0.543901
Atlantic Ocean,Mediterranean Sea,0.106896
Atlantic Ocean,Mediterranean Sea,2.192667
Atlantic Ocean,Mediterranean Sea,2.505023
Pacific Ocean,,0.451787
Atlantic Ocean,,0.00432
Atlantic Ocean,,0.010796
Atlantic Ocean,,0.323976
Atlantic Ocean,,37
Atlantic Ocean,,0.040816
Atlantic Ocean,,0.01944
Atlantic Ocean,,0.007852
Atlantic Ocean,,0.024692
Atlantic Ocean,New York Bight,0.00432
Atlantic Ocean,,0.01
Atlantic Ocean,,10160
Atlantic Ocean,,6480
Pacific Ocean,,0.159
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.194384
Atlantic Ocean,,0.253288
Atlantic Ocean,,2.364218
Pacific Ocean,,0.326132
Pacific Ocean,,0.003324
Atlantic Ocean,Gulf of Mexico,720
Pacific Ocean,,0.00648
Pacific Ocean,,0.00216
Atlantic Ocean,Caribbean Sea,0.00216
Atlantic Ocean,Caribbean Sea,0.056156
Atlantic Ocean,Caribbean Sea,0.028796
Pacific Ocean,,2.464707
Pacific Ocean,,1.566289
Atlantic Ocean,Mediterranean Sea,0.29
Atlantic Ocean,North Sea,0.066437
Atlantic Ocean,,0.303663
Atlantic Ocean,Mediterranean Sea,0.177333
Atlantic Ocean,,10
Atlantic Ocean,,76.628352
Atlantic Ocean,North Sea,0.341743
Atlantic Ocean,,2.175247
Atlantic Ocean,,0.289436
Atlantic Ocean,Mediterranean Sea,1.603376
Atlantic Ocean,Mediterranean Sea,0.007
Atlantic Ocean,Mediterranean Sea,0.184805
Atlantic Ocean,Mediterranean Sea,2.179487
Atlantic Ocean,,0.086392
Atlantic Ocean,,908.57
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.026
Pacific Ocean,,21.788339
Atlantic Ocean,,0.063
Atlantic Ocean,,0.0234
Atlantic Ocean,,0.205184
Atlantic Ocean,,0.111076
Atlantic Ocean,,0.127428
Atlantic Ocean,,0.041
Atlantic Ocean,,0.011
Pacific Ocean,,0.004
Pacific Ocean,Gulf of California,705.218618
Pacific Ocean,,0.00216
Atlantic Ocean,Caribbean Sea,0.025196
Atlantic Ocean,Caribbean Sea,0.00432
Atlantic Ocean,North Sea,0.021685
Pacific Ocean,Gulf of Alaska,0.011
Atlantic Ocean,Inner Seas off the West Coast of Scotland,0.039852
Atlantic Ocean,,41.436464
Atlantic Ocean,Mediterranean Sea,0.996134
Pacific Ocean,,0.044416
Atlantic Ocean,,5
Atlantic Ocean,Bay of Biscay,0.003961
Atlantic Ocean,,0.00864
Atlantic Ocean,,0.01296
Atlantic Ocean,,36.666667
Atlantic Ocean,Mediterranean Sea,4.26
Atlantic Ocean,,0.043196
Atlantic Ocean,,0.004222
Atlantic Ocean,,0.005
Pacific Ocean,,4.632787
Pacific Ocean,,0.239722
Pacific Ocean,Gulf of California,2820.874471
Atlantic Ocean,,0.01296
Atlantic Ocean,,0.015708
Atlantic Ocean,,0.01512
Pacific Ocean,,0.005
Atlantic Ocean,Caribbean Sea,0.0043
Atlantic Ocean,Caribbean Sea,0.01512
Atlantic Ocean,,0.01
Pacific Ocean,,0.719813
Atlantic Ocean,Caribbean Sea,0.005
Atlantic Ocean,,0.0087
Pacific Ocean,,0.78
Pacific Ocean,,0.00216
Pacific Ocean,,0.0108
Atlantic Ocean,Caribbean Sea,0.043196
Atlantic Ocean,Caribbean Sea,0.00216
Atlantic Ocean,Mediterranean Sea,0.335363
Atlantic Ocean,,86.206897
Pacific Ocean,,1.106
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.209651
Atlantic Ocean,Mediterranean Sea,0.805757
Atlantic Ocean,,0.012
Atlantic Ocean,,1
Pacific Ocean,,3.692508
Pacific Ocean,,3.616785
Atlantic Ocean,,0.002
Atlantic Ocean,Gulf of Mexico,0.0108
Atlantic Ocean,,0.003928
Atlantic Ocean,,0.02066
Atlantic Ocean,,0.0108
Atlantic Ocean,,0.0162
Pacific Ocean,,0.0024
Pacific Ocean,,3.457382
Pacific Ocean,,0.827634
Atlantic Ocean,,0.051836
Atlantic Ocean,,0.00648
Atlantic Ocean,Caribbean Sea,0.0108
Atlantic Ocean,,0.00648
Atlantic Ocean,,0.011
Atlantic Ocean,Caribbean Sea,0.00216
Atlantic Ocean,,0.008
Pacific Ocean,,0.682223
Atlantic Ocean,Caribbean Sea,0.00648
Pacific Ocean,,0.002
Atlantic Ocean,,5388.666667
Atlantic Ocean,Caribbean Sea,0.00864
Arctic Ocean,Northwestern Passages,0.044
Arctic Ocean,Northwestern Passages,0.087
Pacific Ocean,,0.00864
Atlantic Ocean,Mediterranean Sea,0.159524
Atlantic Ocean,,0.01944
Atlantic Ocean,,0.0108
Atlantic Ocean,Mediterranean Sea,1.490453
Atlantic Ocean,North Sea,0.031501
Atlantic Ocean,,0.058471
Atlantic Ocean,Mediterranean Sea,0.128726
Pacific Ocean,,0.50676
Atlantic Ocean,,0.00648
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.003292
Atlantic Ocean,,0.0216
Atlantic Ocean,Mediterranean Sea,0.189
Atlantic Ocean,,0.473298
Atlantic Ocean,,0.00648
Atlantic Ocean,,0.059396
Pacific Ocean,,8.765483
Pacific Ocean,,3.392126
Pacific Ocean,,1.79035
Pacific Ocean,Monterey Bay National Marine Sanctuary,0.002
Atlantic Ocean,,0.289416
Atlantic Ocean,,0.004508
Atlantic Ocean,,0.028076
Atlantic Ocean,,0.395684
Atlantic Ocean,,0.133908
Atlantic Ocean,,0.012
Atlantic Ocean,Gulf of Mexico,1410.437236
Pacific Ocean,,1.333847
Pacific Ocean,,0.615428
Pacific Ocean,,2820.874471
Atlantic Ocean,Gulf of Mexico,1000
Atlantic Ocean,Caribbean Sea,0.00432
Atlantic Ocean,Caribbean Sea,0.00864
Atlantic Ocean,Caribbean Sea,0.00576
Atlantic Ocean,,1573.333333
Atlantic Ocean,Caribbean Sea,0.0027
Atlantic Ocean,Caribbean Sea,0.94
Atlantic Ocean,Caribbean Sea,0.00216
Pacific Ocean,,0.00216
Atlantic Ocean,Mediterranean Sea,0.051692
Atlantic Ocean,,59.084195
Atlantic Ocean,,81.967213
Arctic Ocean,Norwegian Sea,0.007412
Atlantic Ocean,,0.5
Atlantic Ocean,,0.073436
Atlantic Ocean,,0.402588
Atlantic Ocean,,0.009256
Atlantic Ocean,,0.024192
Atlantic Ocean,,0.082072
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.164148
Atlantic Ocean,,0.035996
Pacific Ocean,,1.435495
Atlantic Ocean,,0.053384
Atlantic Ocean,,0.107992
Atlantic Ocean,,0.040792
Atlantic Ocean,,0.0216
Atlantic Ocean,,0.001056
Atlantic Ocean,,0.00432
Atlantic Ocean,,0.030236
Atlantic Ocean,,0.00432
Atlantic Ocean,Gulf of Mexico,2000
Atlantic Ocean,,0.00216
Atlantic Ocean,Caribbean Sea,0.00648
Atlantic Ocean,,0.007
Pacific Ocean,,0.088651
Atlantic Ocean,Caribbean Sea,0.0024
Atlantic Ocean,,703
Pacific Ocean,,0.00216
Atlantic Ocean,Caribbean Sea,0.035996
Atlantic Ocean,Caribbean Sea,0.019208
Atlantic Ocean,,0.066147
Atlantic Ocean,North Sea,0.040009
Atlantic Ocean,Skagerrak Strait,0.001
Atlantic Ocean,North Sea,0.078347
Pacific Ocean,,0.01944
Atlantic Ocean,,6
Pacific Ocean,,0.00214
Atlantic Ocean,,0.00864
Atlantic Ocean,Mediterranean Sea,0.006734
Atlantic Ocean,,0.036716
Atlantic Ocean,,0.043196
Atlantic Ocean,,56.666667
Atlantic Ocean,,0.00432
Atlantic Ocean,,0.073436
Pacific Ocean,,27.418707
Pacific Ocean,,0.855302
Pacific Ocean,,0.574342
Atlantic Ocean,,0.039292
Atlantic Ocean,,0.00432
Atlantic Ocean,,0.01296
Atlantic Ocean,,0.0216
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.030236
Atlantic Ocean,,0.129588
Atlantic Ocean,,0.00648
Atlantic Ocean,,0.109
Atlantic Ocean,,0.01512
Pacific Ocean,,0.0108
Pacific Ocean,,3526.093089
Atlantic Ocean,Caribbean Sea,0.00216
Atlantic Ocean,,0.00432
Pacific Ocean,,0.258935
Pacific Ocean,,0.003084
Pacific Ocean,,0.53
Atlantic Ocean,North Sea,0.043062
Atlantic Ocean,Inner Seas off the West Coast of Scotland,0.134295
Atlantic Ocean,,0.0216
Atlantic Ocean,,0.02376
Atlantic Ocean,Celtic Sea,0.089249
Atlantic Ocean,Mediterranean Sea,0.54767
Atlantic Ocean,Mediterranean Sea,0.99641
Atlantic Ocean,North Sea,0.008584
Atlantic Ocean,Mediterranean Sea,0.26
Atlantic Ocean,Mediterranean Sea,0.345602
Atlantic Ocean,Mediterranean Sea,0.504667
Atlantic Ocean,,0.0108
Atlantic Ocean,,0.0216
Atlantic Ocean,,0.0108
Atlantic Ocean,,0.058172
Atlantic Ocean,,0.007
Pacific Ocean,,2.834407
Atlantic Ocean,,0.016
Atlantic Ocean,,2.308856
Atlantic Ocean,,0.110152
Pacific Ocean,,2115.655853
Pacific Ocean,,705.218618
Atlantic Ocean,Gulf of Mexico,18.1
Pacific Ocean,,22.527386
Atlantic Ocean,Caribbean Sea,0.0036
Atlantic Ocean,Caribbean Sea,0.00576
Atlantic Ocean,,0.01728
Atlantic Ocean,,0.004
Atlantic Ocean,Caribbean Sea,0.002056
Atlantic Ocean,Caribbean Sea,0.0024
